Descripción del campo	Nombre del campo xml	Longitud Mínima	Longitud Máxima	Tipo de Campo	Formato	Requisito	Formato	Mascara	TablaCampo	DependeCampo	Verifica/Acción	Orden	OrdenColumna
Identificación del sustento tributario	codSustento	2	2	Caracter	Tabla 3	obligatorio	00		0			1	1
Tipo de Identificación del Proveedor	tpIdProv	2	2	Caracter	Tabla ED1-1	obligatorio	00		0			2	2
No. de Identificación del Proveedor	idProv	10	13	Caracter		obligatorio	0000000000###					3	3
Código tipo de comprobante	tipoComprobante	2	2	Caracter	Tabla 2	obligatorio	00		0	1	4	4	4
Tipo de Proveedor	tipoProv	2	2	Código	Tabla 17	condicional	00		0	2	2	5	5
Parte Relacionada	parteRel	2	2	Alfabético	Tabla sino	condicional	>&&		0	2	1	6	6
Razón o denominación social del proveedor	denoProv	1	500	Código		condicional						7	7
Fecha de registro contable del comprobante de venta	fechaRegistro	10	10	Fecha	Dd/mm/aaaa	obligatorio	dd/mm/yyyy	##/##/####				8	8
No. de serie del comprobante de venta - establecimiento	establecimiento	3	3	Caracter	enteros	obligatorio	000					9	9
No. de serie del comprobante de venta - punto de emisión	puntoEmision	3	3	Caracter	enteros	obligatorio	000					10	10
No. secuencial del comprobante de venta	secuencial	1	9	Caracter	enteros	obligatorio	######0					11	11
Fecha de emisión del comprobante de venta	fechaEmision	10	10	Fecha	Dd/mm/aaaa	obligatorio	dd/mm/yyyy	##/##/####				12	12
No. de autorización del comprobante de venta	autorizacion	3	37	Caracter	números	obligatorio						13	13
Base imponible No objeto de IVA	baseNoGraIva	4	15	Numérico	2 decimales	obligatorio	########0.00					14	14
Base imponible tarifa 0% IVA	baseImponible	4	15	Numérico	2 decimales	obligatorio	########0.00					15	15
Base imponible tarifa IVA diferente de 0%	baseImpGrav	4	15	Numérico	2 decimales	obligatorio	########0.00					16	16
Base imponible exenta de IVA	baseImpExe	4	15	Numérico	2 decimales	obligatorio	########0.00					17	17
Monto ICE	montoIce	4	15	Numérico	2 decimales	obligatorio	########0.00					18	18
Monto IVA	montoIva	4	15	Numérico	2 decimales	obligatorio	########0.00					19	19
Retención IVA 10%	valRetBien10	4	15	Numérico	2 decimales	obligatorio	########0.00					20	20
Retención IVA 20%	valRetServ20	4	15	Numérico	2 decimales	obligatorio	########0.00					21	21
