Descripción del campo	Nombre del campo xml	Longitud Mínima	Longitud Máxima	Tipo de Campo	Formato	Requisito	Formato	Mascara	TablaCampo	DependeCampo	Verifica/Acción	Orden	OrdenColumna
Tipo de Identificación del Retenido	retenido	2	2	Caracter	Tabla ED1-6	obligatorio	00	00	0			1	1
No. de Identificación del Retenido	idRetenido	10	13	Caracter		obligatorio	###0000000000					2	2
Código tipo de Comprobante Transacción	tipoCompR	1	2	Caracter	Tabla 2	obligatorio	#0		0		40	3	3
Concepto de Retención en la fuente de Impuesto a la Renta	codRetAir	3	5	Caracter	Tabla 10	obligatorio			0			4	9
Total Depósito	deposito	4	12	Numérico	2 decimales	obligatorio	########0.00					5	10
Base Imponible Renta	baseImpAir	4	12	Numérico	2 decimales	obligatorio	########0.00					6	11
Porcentaje de retención de Renta	porcentajeAir	1	5	Numérico	Tabla 10	obligatorio	#0.00		2	9	=	7	12
Monto de retención de Renta	valRetAir	4	12	Numérico	2 decimales	obligatorio	########0.00					8	13
No. de serie del comprobante de retención - establecimiento	estabRetencion	3	3	Caracter	enteros	condicional	000					9	4
No. de serie del comprobante de retención - punto de emisión	ptoEmiRetencion	3	3	Caracter	enteros	condicional	000					10	5
No. secuencial del comprobante de retención	secRetencion	1	7	Caracter	enteros	condicional	######0					11	6
No. de autorización del comprobante de retención	autRetencion	3	10	Caracter	enteros	condicional	#######000					12	7
Fecha de emisión del comprobante de retención	fechaEmiRet	10	10	Fecha	Dd/mm/aaaa	condicional	dd/mm/yyyy	##/##/####				13	8
