Descripción del campo	Nombre del campo xml	Longitud Mínima	Longitud Máxima	Tipo de Campo	Formato	Requisito	Formato	Mascara	TablaCampo	DependeCampo	Verifica/Acción	Orden	OrdenColumna
Tipo de Identificación del Cliente	tpIdCliente	2	2	Caracter	Tabla ED1-2	obligatorio	00	00	0			1	1
No. de Identificación del Cliente	idCliente	10	13	Caracter		obligatorio	0000000000###					2	2
Parte Relacionada	parteRelVtas	2	2	Alfabético	Tabla sino	obligatorio	>&&		0			3	3
Tipo de Cliente	tipoCliente	2	2	Código	Tabla14	condicional	00		0			4	4
Razón o denominación social del cliente	DenoCli	1	500	Código		condicional						5	5
Código tipo de comprobante	tipoComprobante	1	2	Caracter	Tabla 2	obligatorio	00	00	0		18, 41, 04, 05	6	6
Tipo de emisión	tipoEmision	1	1	Código	Tabla 20	obligatorio			0			7	7
No. de Comprobantes Emitidos	numeroComprobantes	1	12	Caracter	enteros	obligatorio	###########0					8	8
Base imponible No objeto de IVA	baseNoGraIva	4	12	Numérico	2 decimales	obligatorio	########0.00					9	9
Base imponible tarifa 0%	baseImponible	4	12	Numérico	2 decimales	obligatorio	########0.00					10	10
Base imponible tarifa IVA diferente 0%	baseImpGrav	4	12	Numérico	2 decimales	obligatorio	########0.00					11	11
Monto IVA	montoIva	4	12	Numérico	2 decimales	obligatorio	########0.00					12	12
Tipo de Compensaciones	tipoCompe	2	2	Numérico	Tabla 21	obligatorio	00		0			13	13
Monto de compensaciones 	monto	4	15	Numérico	2 decimales	obligatorio	########0.00					14	14
Monto ICE	montoIce	4	12	Numérico	2 decimales	obligatorio	########0.00					15	15
Valor de IVA que le han retenido	valorRetIva	4	12	Numérico	2 decimales	obligatorio	########0.00					16	16
Valor de Renta que le han retenido	valorRetRenta	4	12	Numérico	2 decimales	obligatorio	########0.00					17	17
Forma de cobro	formaPago	2	2	Código	Enteros	condicional						18	18
